iter	Passed	Remaining
0	337	337051
1	437	218332
2	474	157574
3	519	129418
4	579	115367
5	622	103070
6	656	93069
7	691	85694
8	733	80711
9	779	77143
10	822	73962
11	861	70955
12	918	69707
13	965	68030
14	1011	66439
15	1057	65045
16	1225	70872
17	1324	72240
18	1368	70651
19	1423	69733
20	1489	69424
21	1599	71088
22	1657	70400
23	1761	71643
24	1812	70669
25	1851	69371
26	1904	68626
27	1939	67327
28	2035	68143
29	2085	67419
30	2182	68220
31	2267	68603
32	2357	69068
33	2420	68777
34	2489	68628
35	2552	68357
36	2589	67409
37	2621	66353
38	2664	65653
39	2730	65527
40	2782	65090
41	2826	64472
42	2858	63617
43	2939	63861
44	3012	63928
45	3055	63370
46	3084	62545
47	3150	62489
48	3215	62400
49	3253	61810
50	3344	62242
51	3395	61906
52	3432	61323
53	3485	61063
54	3562	61208
55	3612	60890
56	3651	60403
57	3756	61013
58	3858	61538
59	3925	61499
60	4004	61641
61	4054	61335
62	4113	61172
63	4167	60948
64	4210	60567
65	4250	60156
66	4350	60588
67	4389	60160
68	4425	59707
69	4464	59314
70	4505	58955
71	4548	58627
72	4591	58304
73	4638	58046
74	4682	57753
75	4737	57596
76	4784	57356
77	4811	56879
78	4876	56847
79	4926	56649
80	4960	56282
81	5018	56182
82	5048	55772
83	5116	55799
84	5165	55607
85	5192	55182
86	5221	54795
87	5282	54748
88	5306	54315
89	5332	53918
90	5395	53893
91	5658	55843
92	5690	55497
93	5852	56403
94	5883	56046
95	5934	55883
96	5967	55557
97	6012	55335
98	6046	55025
99	6177	55599
100	6373	56732
101	6433	56640
102	6474	56386
103	6514	56128
104	6586	56146
105	6629	55913
106	6659	55581
107	6690	55254
108	6759	55256
109	6855	55471
110	6933	55529
111	7007	55556
112	7038	55251
113	7064	54903
114	7091	54571
115	7113	54213
116	7142	53904
117	7172	53614
118	7219	53446
119	7253	53188
120	7285	52928
121	7315	52644
122	7362	52495
123	7418	52405
124	7459	52219
125	7528	52220
126	7572	52051
127	7605	51810
128	7655	51691
129	7704	51563
130	7750	51410
131	7792	51239
132	7901	51508
133	8172	52813
134	8635	55328
135	8737	55510
136	9160	57702
137	9209	57527
138	9246	57277
139	9362	57514
140	9434	57479
141	9478	57270
142	9519	57050
143	9559	56824
144	9649	56896
145	9746	57007
146	9795	56839
147	9841	56652
148	9888	56476
149	9978	56547
150	10078	56664
151	10155	56656
152	10212	56534
153	10272	56430
154	10306	56187
155	10354	56020
156	10426	55985
157	10479	55848
158	10516	55622
159	10643	55879
160	10693	55728
161	10764	55684
162	10842	55678
163	10918	55656
164	10994	55639
165	11078	55660
166	11185	55795
167	11329	56106
168	11382	55970
169	11423	55773
170	11475	55632
171	11514	55430
172	11556	55246
173	11599	55063
174	11647	54911
175	11781	55158
176	11896	55317
177	11983	55339
178	12151	55733
179	12258	55842
180	12337	55826
181	12384	55660
182	12437	55527
183	12497	55423
184	12651	55733
185	12693	55550
186	12729	55344
187	12772	55164
188	12841	55101
189	12869	54865
190	12928	54760
191	12976	54610
192	13010	54401
193	13045	54199
194	13091	54043
195	13158	53977
196	13208	53840
197	13250	53672
198	13317	53604
199	13348	53394
200	13407	53297
201	13439	53092
202	13468	52879
203	13506	52703
204	13552	52556
205	13593	52393
206	13629	52214
207	13671	52058
208	13736	51986
209	13779	51836
210	13836	51738
211	14106	52431
212	14167	52346
213	14204	52172
214	14251	52034
215	14379	52190
216	14454	52157
217	14502	52023
218	14539	51850
219	14578	51686
220	14609	51497
221	14651	51347
222	14715	51273
223	14790	51240
224	14823	51059
225	14859	50891
226	14900	50740
227	14932	50562
228	14986	50456
229	15019	50281
230	15065	50154
231	15122	50061
232	15163	49914
233	15224	49837
234	15295	49792
235	15381	49795
236	15423	49653
237	15459	49495
238	15480	49291
239	15510	49116
240	15539	48939
241	15567	48760
242	15592	48575
243	15638	48452
244	15667	48282
245	15702	48128
246	15737	47977
247	15766	47809
248	15796	47642
249	15830	47490
250	15932	47542
251	15991	47466
252	16036	47350
253	16132	47379
254	16196	47320
255	16241	47202
256	16272	47045
257	16313	46917
258	16348	46772
259	16374	46604
260	16407	46455
261	16433	46289
262	16467	46145
263	16512	46034
264	16576	45976
265	16614	45845
266	16667	45757
267	16708	45636
268	16750	45518
269	16786	45386
270	16845	45314
271	16914	45270
272	16998	45268
273	17032	45129
274	17065	44991
275	17095	44843
276	17115	44674
277	17139	44512
278	17166	44363
279	17292	44466
280	17323	44326
281	17352	44180
282	17377	44027
283	17472	44051
284	17533	43987
285	17574	43873
286	17641	43826
287	17684	43719
288	17732	43626
289	17807	43597
290	17829	43440
291	17857	43298
292	17890	43170
293	17977	43169
294	18054	43146
295	18102	43054
296	18210	43105
297	18259	43013
298	18446	43246
299	18505	43180
300	18536	43047
301	18752	43342
302	18781	43202
303	18828	43107
304	18870	42999
305	18916	42902
306	18954	42787
307	19150	43026
308	19214	42968
309	19293	42942
310	19369	42911
311	19406	42794
